"ibge_mun1","ibge_mun2","sigla_mun1","sigla_mun2","uf_mun1","uf_mun2","municipio_1","municipio_2"
1504208,1507300,"15","15",PA,PA,Marabá,São Félix do Xingu
1504208,1502954,"15","15",PA,PA,Marabá,Eldorado dos Carajás
1504208,1507458,"15","15",PA,PA,Marabá,São Geraldo do Araguaia
1504208,1502772,"15","15",PA,PA,Marabá,Curionópolis
1504208,1506187,"15","15",PA,PA,Marabá,Rondon do Pará
1504208,1507151,"15","15",PA,PA,Marabá,São Domingos do Araguaia
1504208,1505064,"15","15",PA,PA,Marabá,Novo Repartimento
1504208,1507508,"15","15",PA,PA,Marabá,São João do Araguaia
1504208,1501576,"15","15",PA,PA,Marabá,Bom Jesus do Tocantins
1504208,1503705,"15","15",PA,PA,Marabá,Itupiranga
1504208,1504976,"15","15",PA,PA,Marabá,Nova Ipixuna
1504208,1505536,"15","15",PA,PA,Marabá,Parauapebas
1504208,1503804,"15","15",PA,PA,Marabá,Jacundá
5101605,5003207,"51","50",MT,MS,Barão de Melgaço,Corumbá
5101605,5107800,"51","51",MT,MT,Barão de Melgaço,Santo Antônio do Leverger
5101605,5106109,"51","51",MT,MT,Barão de Melgaço,Nossa Senhora do Livramento
5101605,5106505,"51","51",MT,MT,Barão de Melgaço,Poconé
5101605,5104609,"51","51",MT,MT,Barão de Melgaço,Itiquira
1600238,1600550,"16","16",AP,AP,Ferreira Gomes,Pracuúba
1600238,1600204,"16","16",AP,AP,Ferreira Gomes,Calçoene
1600238,1600303,"16","16",AP,AP,Ferreira Gomes,Macapá
1600238,1600709,"16","16",AP,AP,Ferreira Gomes,Tartarugalzinho
1600238,1600212,"16","16",AP,AP,Ferreira Gomes,Cutias
1600238,1600055,"16","16",AP,AP,Ferreira Gomes,Serra do Navio
1600238,1600154,"16","16",AP,AP,Ferreira Gomes,Pedra Branca do Amapari
1600238,1600535,"16","16",AP,AP,Ferreira Gomes,Porto Grande
5006275,5002951,"50","50",MS,MS,Paraíso das Águas,Chapadão do Sul
5006275,5000203,"50","50",MS,MS,Paraíso das Águas,Água Clara
5006275,5003256,"50","50",MS,MS,Paraíso das Águas,Costa Rica
5006275,5002605,"50","50",MS,MS,Paraíso das Águas,Camapuã
1303601,1302108,"13","13",AM,AM,Santa Isabel do Rio Negro,Japurá
1303601,1302801,"13","13",AM,AM,Santa Isabel do Rio Negro,Maraã
1303601,1300409,"13","13",AM,AM,Santa Isabel do Rio Negro,Barcelos
1303601,1303809,"13","13",AM,AM,Santa Isabel do Rio Negro,São Gabriel da Cachoeira
1500404,1506807,"15","15",PA,PA,Alenquer,Santarém
1500404,1505106,"15","15",PA,PA,Alenquer,Óbidos
1500404,1504802,"15","15",PA,PA,Alenquer,Monte Alegre
1500404,1502855,"15","15",PA,PA,Alenquer,Curuá
1500404,1500503,"15","15",PA,PA,Alenquer,Almeirim
1300904,1304104,"13","13",AM,AM,Canutama,Tapauá
1300904,1301704,"13","13",AM,AM,Canutama,Humaitá
1300904,1302405,"13","13",AM,AM,Canutama,Lábrea
1300904,1100205,"13","11",AM,RO,Canutama,Porto Velho
1400027,1400050,"14","14",RR,RR,Amajari,Alto Alegre
1400027,1400456,"14","14",RR,RR,Amajari,Pacaraima
1400027,1400100,"14","14",RR,RR,Amajari,Boa Vista
1503754,1503606,"15","15",PA,PA,Jacareacanga,Itaituba
1503754,1300144,"15","13",PA,AM,Jacareacanga,Apuí
1503754,1302900,"15","13",PA,AM,Jacareacanga,Maués
1503754,1505031,"15","15",PA,PA,Jacareacanga,Novo Progresso
1503754,5100250,"15","51",PA,MT,Jacareacanga,Alta Floresta
1503754,5100805,"15","51",PA,MT,Jacareacanga,Apiacás
1503754,5106299,"15","51",PA,MT,Jacareacanga,Paranaíta
1400472,1300409,"14","13",RR,AM,Rorainópolis,Barcelos
1400472,1400209,"14","14",RR,RR,Rorainópolis,Caracaraí
1400472,1303205,"14","13",RR,AM,Rorainópolis,Novo Airão
1400472,1303536,"14","13",RR,AM,Rorainópolis,Presidente Figueiredo
1400472,1304302,"14","13",RR,AM,Rorainópolis,Urucará
1400472,1400506,"14","14",RR,RR,Rorainópolis,São João da Baliza
1400472,1400605,"14","14",RR,RR,Rorainópolis,São Luiz
1503457,1505502,"15","15",PA,PA,Ipixuna do Pará,Paragominas
1503457,1502301,"15","15",PA,PA,Ipixuna do Pará,Capitão Poço
1503457,1503093,"15","15",PA,PA,Ipixuna do Pará,Goianésia do Pará
1503457,1500958,"15","15",PA,PA,Ipixuna do Pará,Aurora do Pará
1503457,1504950,"15","15",PA,PA,Ipixuna do Pará,Nova Esperança do Piriá
1503457,1504703,"15","15",PA,PA,Ipixuna do Pará,Moju
1503457,1501782,"15","15",PA,PA,Ipixuna do Pará,Breu Branco
1503457,1507953,"15","15",PA,PA,Ipixuna do Pará,Tailândia
1503457,1508001,"15","15",PA,PA,Ipixuna do Pará,Tomé-Açu
1502764,1507300,"15","15",PA,PA,Cumaru do Norte,São Félix do Xingu
1502764,1506708,"15","15",PA,PA,Cumaru do Norte,Santana do Araguaia
1502764,1506583,"15","15",PA,PA,Cumaru do Norte,Santa Maria das Barreiras
1502764,1505437,"15","15",PA,PA,Cumaru do Norte,Ourilândia do Norte
1502764,1501253,"15","15",PA,PA,Cumaru do Norte,Bannach
1502764,1506138,"15","15",PA,PA,Cumaru do Norte,Redenção
5218805,5204409,"52","52",GO,GO,Rio Verde,Caiapônia
5218805,5216403,"52","52",GO,GO,Rio Verde,Paraúna
5218805,5213004,"52","52",GO,GO,Rio Verde,Maurilândia
5218805,5219308,"52","52",GO,GO,Rio Verde,Santa Helena de Goiás
5218805,5211909,"52","52",GO,GO,Rio Verde,Jataí
5218805,5204102,"52","52",GO,GO,Rio Verde,Cachoeira Alta
5218805,5201454,"52","52",GO,GO,Rio Verde,Aparecida do Rio Doce
5218805,5213756,"52","52",GO,GO,Rio Verde,Montividiu
5218805,5219712,"52","52",GO,GO,Rio Verde,Santo Antônio da Barra
5218805,5205059,"52","52",GO,GO,Rio Verde,Castelândia
5218805,5218508,"52","52",GO,GO,Rio Verde,Quirinópolis
1506104,1506112,"15","15",PA,PA,Primavera,Quatipuru
1506104,1508035,"15","15",PA,PA,Primavera,Tracuateua
1506104,1502202,"15","15",PA,PA,Primavera,Capanema
1506104,1505601,"15","15",PA,PA,Primavera,Peixe-Boi
1506104,1507474,"15","15",PA,PA,Primavera,São João de Pirabas
1506104,1506906,"15","15",PA,PA,Primavera,Santarém Novo
1503606,1503754,"15","15",PA,PA,Itaituba,Jacareacanga
1503606,1501006,"15","15",PA,PA,Itaituba,Aveiro
1503606,1500602,"15","15",PA,PA,Itaituba,Altamira
1503606,1302900,"15","13",PA,AM,Itaituba,Maués
1503606,1505031,"15","15",PA,PA,Itaituba,Novo Progresso
1503606,1508050,"15","15",PA,PA,Itaituba,Trairão
1503606,1506195,"15","15",PA,PA,Itaituba,Rurópolis
2925907,2910701,"29","29",BA,BA,Quijingue,Euclides da Cunha
2925907,2921500,"29","29",BA,BA,Quijingue,Monte Santo
2925907,2902104,"29","29",BA,BA,Quijingue,Araci
2925907,2906808,"29","29",BA,BA,Quijingue,Cansanção
2925907,2931905,"29","29",BA,BA,Quijingue,Tucano
