"ibge_mun1","ibge_mun2","uf_mun1","uf_mun2","municipio_1","municipio_2"
"1100015","1100148","RO","RO","Alta Floresta D'Oeste","Nova Brasilândia D'Oeste"
"1100015","1100288","RO","RO","Alta Floresta D'Oeste","Rolim de Moura"
"1100015","1100296","RO","RO","Alta Floresta D'Oeste","Santa Luzia D'Oeste"
"1100015","1100320","RO","RO","Alta Floresta D'Oeste","São Miguel do Guaporé"
"1100015","1100379","RO","RO","Alta Floresta D'Oeste","Alto Alegre dos Parecis"
"1100015","1100502","RO","RO","Alta Floresta D'Oeste","Novo Horizonte do Oeste"
"1100015","1101492","RO","RO","Alta Floresta D'Oeste","São Francisco do Guaporé"
"1100023","1100114","RO","RO","Ariquemes","Jaru"
"1100023","1100130","RO","RO","Ariquemes","Machadinho D'Oeste"
"1100023","1100262","RO","RO","Ariquemes","Rio Crespo"
"1100023","1100403","RO","RO","Ariquemes","Alto Paraíso"
"1100023","1100452","RO","RO","Ariquemes","Buritis"
"1100023","1100601","RO","RO","Ariquemes","Cacaulândia"
"1100023","1101401","RO","RO","Ariquemes","Monte Negro"
"1100023","1101609","RO","RO","Ariquemes","Theobroma"
"1100023","1101757","RO","RO","Ariquemes","Vale do Anari"
"1100031","1100064","RO","RO","Cabixi","Colorado do Oeste"
"1100031","1101468","RO","RO","Cabixi","Pimenteiras do Oeste"
"1100049","1100098","RO","RO","Cacoal","Espigão D'Oeste"
"1100049","1100189","RO","RO","Cacoal","Pimenta Bueno"
"1100049","1100254","RO","RO","Cacoal","Presidente Médici"
"1100049","1100288","RO","RO","Cacoal","Rolim de Moura"
"1100049","1100908","RO","RO","Cacoal","Castanheiras"
"1100049","1101203","RO","RO","Cacoal","Ministro Andreazza"
"1100056","1100064","RO","RO","Cerejeiras","Colorado do Oeste"
"1100056","1100072","RO","RO","Cerejeiras","Corumbiara"
"1100056","1101468","RO","RO","Cerejeiras","Pimenteiras do Oeste"
"1100064","1100031","RO","RO","Colorado do Oeste","Cabixi"
"1100064","1100056","RO","RO","Colorado do Oeste","Cerejeiras"
"1100064","1100072","RO","RO","Colorado do Oeste","Corumbiara"
"1100064","1100304","RO","RO","Colorado do Oeste","Vilhena"
"1100064","1100924","RO","RO","Colorado do Oeste","Chupinguaia"
"1100064","1101468","RO","RO","Colorado do Oeste","Pimenteiras do Oeste"
"1100072","1100056","RO","RO","Corumbiara","Cerejeiras"
"1100072","1100064","RO","RO","Corumbiara","Colorado do Oeste"
"1100072","1100924","RO","RO","Corumbiara","Chupinguaia"
"1100072","1101468","RO","RO","Corumbiara","Pimenteiras do Oeste"
"1100080","1100106","RO","RO","Costa Marques","Guajará-Mirim"
"1100080","1101492","RO","RO","Costa Marques","São Francisco do Guaporé"
"1100080","1101500","RO","RO","Costa Marques","Seringueiras"
"1100098","1100049","RO","RO","Espigão D'Oeste","Cacoal"
"1100098","1100189","RO","RO","Espigão D'Oeste","Pimenta Bueno"
"1100098","1100304","RO","RO","Espigão D'Oeste","Vilhena"
"1100106","1100080","RO","RO","Guajará-Mirim","Costa Marques"
"1100106","1100320","RO","RO","Guajará-Mirim","São Miguel do Guaporé"
"1100106","1100338","RO","RO","Guajará-Mirim","Nova Mamoré"
"1100106","1100700","RO","RO","Guajará-Mirim","Campo Novo de Rondônia"
"1100106","1101005","RO","RO","Guajará-Mirim","Governador Jorge Teixeira"
"1100106","1101500","RO","RO","Guajará-Mirim","Seringueiras"
"1100114","1100023","RO","RO","Jaru","Ariquemes"
"1100114","1100155","RO","RO","Jaru","Ouro Preto do Oeste"
"1100114","1100601","RO","RO","Jaru","Cacaulândia"
"1100114","1101005","RO","RO","Jaru","Governador Jorge Teixeira"
"1100114","1101302","RO","RO","Jaru","Mirante da Serra"
"1100114","1101435","RO","RO","Jaru","Nova União"
"1100114","1101609","RO","RO","Jaru","Theobroma"
"1100114","1101807","RO","RO","Jaru","Vale do Paraíso"
"1100122","1100155","RO","RO","Ji-Paraná","Ouro Preto do Oeste"
"1100122","1100254","RO","RO","Ji-Paraná","Presidente Médici"
"1100122","1101203","RO","RO","Ji-Paraná","Ministro Andreazza"
"1100122","1101559","RO","RO","Ji-Paraná","Teixeirópolis"
"1100122","1101609","RO","RO","Ji-Paraná","Theobroma"
"1100122","1101708","RO","RO","Ji-Paraná","Urupá"
"1100122","1101757","RO","RO","Ji-Paraná","Vale do Anari"
"1100122","1101807","RO","RO","Ji-Paraná","Vale do Paraíso"
"1100130","1100023","RO","RO","Machadinho D'Oeste","Ariquemes"
"1100130","1100205","RO","RO","Machadinho D'Oeste","Porto Velho"
"1100130","1100262","RO","RO","Machadinho D'Oeste","Rio Crespo"
"1100130","1100940","RO","RO","Machadinho D'Oeste","Cujubim"
"1100130","1101757","RO","RO","Machadinho D'Oeste","Vale do Anari"
"1100130","1301704","RO","AM","Machadinho D'Oeste","Humaitá"
"1100148","1100015","RO","RO","Nova Brasilândia D'Oeste","Alta Floresta D'Oeste"
"1100148","1100254","RO","RO","Nova Brasilândia D'Oeste","Presidente Médici"
"1100148","1100320","RO","RO","Nova Brasilândia D'Oeste","São Miguel do Guaporé"
"1100148","1100346","RO","RO","Nova Brasilândia D'Oeste","Alvorada D'Oeste"
"1100148","1100502","RO","RO","Nova Brasilândia D'Oeste","Novo Horizonte do Oeste"
"1100148","1100908","RO","RO","Nova Brasilândia D'Oeste","Castanheiras"
"1100155","1100114","RO","RO","Ouro Preto do Oeste","Jaru"
"1100155","1100122","RO","RO","Ouro Preto do Oeste","Ji-Paraná"
"1100155","1101435","RO","RO","Ouro Preto do Oeste","Nova União"
"1100155","1101559","RO","RO","Ouro Preto do Oeste","Teixeirópolis"
