"ibge_mun1","ibge_mun2","uf_mun1","uf_mun2","municipio_1","municipio_2"
"1100015","1100379","RO","RO","Alta Floresta D'Oeste","Alto Alegre dos Parecis"
"1100015","1101492","RO","RO","Alta Floresta D'Oeste","São Francisco do Guaporé"
"1100031","1101468","RO","RO","Cabixi","Pimenteiras do Oeste"
"1100031","5103304","RO","MT","Cabixi","Comodoro"
"1100080","1100106","RO","RO","Costa Marques","Guajará-Mirim"
"1100080","1101492","RO","RO","Costa Marques","São Francisco do Guaporé"
"1100106","1100080","RO","RO","Guajará-Mirim","Costa Marques"
"1100106","1100338","RO","RO","Guajará-Mirim","Nova Mamoré"
"1100205","1100338","RO","RO","Porto Velho","Nova Mamoré"
"1100205","1200013","RO","AC","Porto Velho","Acrelândia"
"1100338","1100106","RO","RO","Nova Mamoré","Guajará-Mirim"
"1100338","1100205","RO","RO","Nova Mamoré","Porto Velho"
"1100379","1100015","RO","RO","Alto Alegre dos Parecis","Alta Floresta D'Oeste"
"1100379","1101468","RO","RO","Alto Alegre dos Parecis","Pimenteiras do Oeste"
"1101468","1100031","RO","RO","Pimenteiras do Oeste","Cabixi"
"1101468","1100379","RO","RO","Pimenteiras do Oeste","Alto Alegre dos Parecis"
"1101492","1100015","RO","RO","São Francisco do Guaporé","Alta Floresta D'Oeste"
"1101492","1100080","RO","RO","São Francisco do Guaporé","Costa Marques"
"1200013","1100205","AC","RO","Acrelândia","Porto Velho"
"1200013","1200385","AC","AC","Acrelândia","Plácido de Castro"
"1200054","1200104","AC","AC","Assis Brasil","Brasiléia"
"1200054","1200500","AC","AC","Assis Brasil","Sena Madureira"
"1200104","1200054","AC","AC","Brasiléia","Assis Brasil"
"1200104","1200252","AC","AC","Brasiléia","Epitaciolândia"
"1200104","1200500","AC","AC","Brasiléia","Sena Madureira"
"1200104","1200708","AC","AC","Brasiléia","Xapuri"
"1200179","1200385","AC","AC","Capixaba","Plácido de Castro"
"1200179","1200708","AC","AC","Capixaba","Xapuri"
"1200203","1200336","AC","AC","Cruzeiro do Sul","Mâncio Lima"
"1200203","1200393","AC","AC","Cruzeiro do Sul","Porto Walter"
"1200203","1200427","AC","AC","Cruzeiro do Sul","Rodrigues Alves"
"1200252","1200104","AC","AC","Epitaciolândia","Brasiléia"
"1200252","1200708","AC","AC","Epitaciolândia","Xapuri"
"1200302","1200328","AC","AC","Feijó","Jordão"
"1200302","1200344","AC","AC","Feijó","Manoel Urbano"
"1200302","1200435","AC","AC","Feijó","Santa Rosa do Purus"
"1200328","1200302","AC","AC","Jordão","Feijó"
"1200328","1200351","AC","AC","Jordão","Marechal Thaumaturgo"
"1200336","1200203","AC","AC","Mâncio Lima","Cruzeiro do Sul"
"1200336","1200427","AC","AC","Mâncio Lima","Rodrigues Alves"
"1200336","1300201","AC","AM","Mâncio Lima","Atalaia do Norte"
"1200344","1200302","AC","AC","Manoel Urbano","Feijó"
"1200344","1200435","AC","AC","Manoel Urbano","Santa Rosa do Purus"
"1200344","1200500","AC","AC","Manoel Urbano","Sena Madureira"
"1200344","1300706","AC","AM","Manoel Urbano","Boca do Acre"
"1200351","1200328","AC","AC","Marechal Thaumaturgo","Jordão"
"1200351","1200393","AC","AC","Marechal Thaumaturgo","Porto Walter"
"1200385","1200013","AC","AC","Plácido de Castro","Acrelândia"
"1200385","1200179","AC","AC","Plácido de Castro","Capixaba"
"1200393","1200203","AC","AC","Porto Walter","Cruzeiro do Sul"
"1200393","1200351","AC","AC","Porto Walter","Marechal Thaumaturgo"
"1200427","1200203","AC","AC","Rodrigues Alves","Cruzeiro do Sul"
"1200427","1200336","AC","AC","Rodrigues Alves","Mâncio Lima"
"1200435","1200302","AC","AC","Santa Rosa do Purus","Feijó"
"1200435","1200344","AC","AC","Santa Rosa do Purus","Manoel Urbano"
"1200500","1200054","AC","AC","Sena Madureira","Assis Brasil"
"1200500","1200104","AC","AC","Sena Madureira","Brasiléia"
"1200500","1200344","AC","AC","Sena Madureira","Manoel Urbano"
"1200708","1200104","AC","AC","Xapuri","Brasiléia"
"1200708","1200179","AC","AC","Xapuri","Capixaba"
"1200708","1200252","AC","AC","Xapuri","Epitaciolândia"
"1300201","1200336","AM","AC","Atalaia do Norte","Mâncio Lima"
"1300201","1300607","AM","AM","Atalaia do Norte","Benjamin Constant"
"1300409","1303601","AM","AM","Barcelos","Santa Isabel do Rio Negro"
"1300409","1400282","AM","RR","Barcelos","Iracema"
"1300607","1300201","AM","AM","Benjamin Constant","Atalaia do Norte"
"1300607","1304062","AM","AM","Benjamin Constant","Tabatinga"
"1302108","1303700","AM","AM","Japurá","Santo Antônio do Içá"
"1302108","1303809","AM","AM","Japurá","São Gabriel da Cachoeira"
"1303601","1300409","AM","AM","Santa Isabel do Rio Negro","Barcelos"
"1303601","1302108","AM","AM","Santa Isabel do Rio Negro","Japurá"
"1303601","1303809","AM","AM","Santa Isabel do Rio Negro","São Gabriel da Cachoeira"
"1303700","1302108","AM","AM","Santo Antônio do Içá","Japurá"
"1303700","1304062","AM","AM","Santo Antônio do Içá","Tabatinga"
"1303809","1302108","AM","AM","São Gabriel da Cachoeira","Japurá"
"1303809","1303601","AM","AM","São Gabriel da Cachoeira","Santa Isabel do Rio Negro"
"1304062","1300607","AM","AM","Tabatinga","Benjamin Constant"
"1304062","1303700","AM","AM","Tabatinga","Santo Antônio do Içá"
"1400027","1400050","RR","RR","Amajari","Alto Alegre"
"1400027","1400456","RR","RR","Amajari","Pacaraima"
"1400050","1400027","RR","RR","Alto Alegre","Amajari"
"1400050","1400282","RR","RR","Alto Alegre","Iracema"
"1400159","1400209","RR","RR","Bonfim","Caracaraí"
"1400159","1400407","RR","RR","Bonfim","Normandia"
"1400209","1300409","RR","AM","Caracaraí","Barcelos"
"1400209","1400159","RR","RR","Caracaraí","Bonfim"
"1400209","1400233","RR","RR","Caracaraí","Caroebe"
"1400209","1400282","RR","RR","Caracaraí","Iracema"
"1400233","1400209","RR","RR","Caroebe","Caracaraí"
"1400233","1505304","RR","PA","Caroebe","Oriximiná"
"1400282","1300409","RR","AM","Iracema","Barcelos"
"1400282","1400050","RR","RR","Iracema","Alto Alegre"
"1400282","1400209","RR","RR","Iracema","Caracaraí"
"1400308","1400282","RR","RR","Mucajaí","Iracema"
"1400407","1400100","RR","RR","Normandia","Boa Vista"
"1400407","1400159","RR","RR","Normandia","Bonfim"
"1400407","1400456","RR","RR","Normandia","Pacaraima"
"1400407","1400704","RR","RR","Normandia","Uiramutã"
"1400456","1400027","RR","RR","Pacaraima","Amajari"
"1400456","1400100","RR","RR","Pacaraima","Boa Vista"
"1400456","1400407","RR","RR","Pacaraima","Normandia"
"1400456","1400704","RR","RR","Pacaraima","Uiramutã"
"1400704","1400407","RR","RR","Uiramutã","Normandia"
"1400704","1400456","RR","RR","Uiramutã","Pacaraima"
"1500404","1500503","PA","PA","Alenquer","Almeirim"
"1500404","1505106","PA","PA","Alenquer","Óbidos"
"1500503","1500404","PA","PA","Almeirim","Alenquer"
"1500503","1505106","PA","PA","Almeirim","Óbidos"
"1500503","1600279","PA","AP","Almeirim","Laranjal do Jari"
"1503002","1303007","PA","AM","Faro","Nhamundá"
"1503002","1505304","PA","PA","Faro","Oriximiná"
"1505106","1500404","PA","PA","Óbidos","Alenquer"
"1505106","1500503","PA","PA","Óbidos","Almeirim"
"1505106","1505304","PA","PA","Óbidos","Oriximiná"
"1505304","1303007","PA","AM","Oriximiná","Nhamundá"
"1505304","1400233","PA","RR","Oriximiná","Caroebe"
"1505304","1503002","PA","PA","Oriximiná","Faro"
"1505304","1505106","PA","PA","Oriximiná","Óbidos"
"1600055","1600154","AP","AP","Serra do Navio","Pedra Branca do Amapari"
"1600055","1600204","AP","AP","Serra do Navio","Calçoene"
"1600055","1600238","AP","AP","Serra do Navio","Ferreira Gomes"
"1600055","1600501","AP","AP","Serra do Navio","Oiapoque"
"1600055","1600550","AP","AP","Serra do Navio","Pracuúba"
"1600105","1600204","AP","AP","Amapá","Calçoene"
"1600105","1600550","AP","AP","Amapá","Pracuúba"
"1600154","1600055","AP","AP","Pedra Branca do Amapari","Serra do Navio"
"1600154","1600238","AP","AP","Pedra Branca do Amapari","Ferreira Gomes"
"1600154","1600279","AP","AP","Pedra Branca do Amapari","Laranjal do Jari"
"1600154","1600501","AP","AP","Pedra Branca do Amapari","Oiapoque"
"1600204","1600055","AP","AP","Calçoene","Serra do Navio"
"1600204","1600105","AP","AP","Calçoene","Amapá"
"1600204","1600238","AP","AP","Calçoene","Ferreira Gomes"
"1600204","1600501","AP","AP","Calçoene","Oiapoque"
"1600204","1600550","AP","AP","Calçoene","Pracuúba"
"1600238","1600055","AP","AP","Ferreira Gomes","Serra do Navio"
"1600238","1600154","AP","AP","Ferreira Gomes","Pedra Branca do Amapari"
"1600238","1600204","AP","AP","Ferreira Gomes","Calçoene"
"1600238","1600550","AP","AP","Ferreira Gomes","Pracuúba"
"1600279","1500503","AP","PA","Laranjal do Jari","Almeirim"
"1600279","1600154","AP","AP","Laranjal do Jari","Pedra Branca do Amapari"
"1600279","1600501","AP","AP","Laranjal do Jari","Oiapoque"
"1600501","1600055","AP","AP","Oiapoque","Serra do Navio"
"1600501","1600154","AP","AP","Oiapoque","Pedra Branca do Amapari"
"1600501","1600204","AP","AP","Oiapoque","Calçoene"
"1600501","1600279","AP","AP","Oiapoque","Laranjal do Jari"
"1600550","1600055","AP","AP","Pracuúba","Serra do Navio"
"1600550","1600105","AP","AP","Pracuúba","Amapá"
"1600550","1600204","AP","AP","Pracuúba","Calçoene"
"1600550","1600238","AP","AP","Pracuúba","Ferreira Gomes"
"4101002","4102752","PR","PR","Ampére","Bela Vista da Caroba"
"4101002","4108403","PR","PR","Ampére","Francisco Beltrão"
"4101002","4114351","PR","PR","Ampére","Manfrinópolis"
"4101002","4116950","PR","PR","Ampére","Nova Esperança do Sudoeste"
"4101002","4119004","PR","PR","Ampére","Pérola d'Oeste"
"4101002","4119251","PR","PR","Ampére","Pinhal de São Bento"
"4101002","4119806","PR","PR","Ampére","Planalto"
"4101002","4120358","PR","PR","Ampére","Pranchita"
"4101002","4121406","PR","PR","Ampére","Realeza"
"4101051","4106308","PR","PR","Anahy","Corbélia"
"4101051","4110052","PR","PR","Anahy","Iguatu"
"4102000","4103370","PR","PR","Assis Chateaubriand","Brasilândia do Sul"
"4102000","4108205","PR","PR","Assis Chateaubriand","Formosa do Oeste"
"4102000","4110607","PR","PR","Assis Chateaubriand","Iporã"
"4102000","4112751","PR","PR","Assis Chateaubriand","Jesuítas"
"4102000","4115358","PR","PR","Assis Chateaubriand","Maripá"
"4102000","4116703","PR","PR","Assis Chateaubriand","Nova Aurora"
"4102000","4117909","PR","PR","Assis Chateaubriand","Palotina"
"4102604","4103156","PR","PR","Barracão","Bom Jesus do Sul"
"4102604","4107850","PR","PR","Barracão","Flor da Serra do Sul"
"4102752","4101002","PR","PR","Bela Vista da Caroba","Ampére"
"4102752","4119004","PR","PR","Bela Vista da Caroba","Pérola d'Oeste"
"4102752","4120358","PR","PR","Bela Vista da Caroba","Pranchita"
"4103008","4112207","PR","PR","Boa Esperança","Janiópolis"
"4103008","4112959","PR","PR","Boa Esperança","Juranda"
"4103008","4121356","PR","PR","Boa Esperança","Rancho Alegre D'Oeste"
"4103024","4106571","PR","PR","Boa Esperança do Iguaçu","Cruzeiro do Iguaçu"
"4103024","4107207","PR","PR","Boa Esperança do Iguaçu","Dois Vizinhos"
"4103024","4117255","PR","PR","Boa Esperança do Iguaçu","Nova Prata do Iguaçu"
"4103057","4104600","PR","PR","Boa Vista da Aparecida","Capitão Leônidas Marques"
"4103057","4104808","PR","PR","Boa Vista da Aparecida","Cascavel"
"4103057","4113452","PR","PR","Boa Vista da Aparecida","Lindoeste"
"4103057","4117255","PR","PR","Boa Vista da Aparecida","Nova Prata do Iguaçu"
"4103156","4102604","PR","PR","Bom Jesus do Sul","Barracão"
"4103156","4107850","PR","PR","Bom Jesus do Sul","Flor da Serra do Sul"
"4103222","4108403","PR","PR","Bom Sucesso do Sul","Francisco Beltrão"
"4103222","4111209","PR","PR","Bom Sucesso do Sul","Itapejara d'Oeste"
"4103222","4118501","PR","PR","Bom Sucesso do Sul","Pato Branco"
"4103222","4121604","PR","PR","Bom Sucesso do Sul","Renascença"
"4103354","4103909","PR","PR","Braganey","Campina da Lagoa"
"4103354","4104055","PR","PR","Braganey","Campo Bonito"
"4103354","4104808","PR","PR","Braganey","Cascavel"
"4103354","4106308","PR","PR","Braganey","Corbélia"
"4103354","4110052","PR","PR","Braganey","Iguatu"
"4103370","4102000","PR","PR","Brasilândia do Sul","Assis Chateaubriand"
"4103370","4103479","PR","PR","Brasilândia do Sul","Cafezal do Sul"
"4103370","4110607","PR","PR","Brasilândia do Sul","Iporã"
"4103453","4104808","PR","PR","Cafelândia","Cascavel"
"4103453","4106308","PR","PR","Cafelândia","Corbélia"
"4103453","4116703","PR","PR","Cafelândia","Nova Aurora"
"4103479","4103370","PR","PR","Cafezal do Sul","Brasilândia do Sul"
"4103479","4110607","PR","PR","Cafezal do Sul","Iporã"
"4103479","4118857","PR","PR","Cafezal do Sul","Perobal"
"4103479","4118907","PR","PR","Cafezal do Sul","Pérola"
"4103909","4103354","PR","PR","Campina da Lagoa","Braganey"
"4103909","4104055","PR","PR","Campina da Lagoa","Campo Bonito"
"4103909","4109302","PR","PR","Campina da Lagoa","Guaraniaçu"
"4103909","4112959","PR","PR","Campina da Lagoa","Juranda"
"4104055","4103354","PR","PR","Campo Bonito","Braganey"
"4104055","4103909","PR","PR","Campo Bonito","Campina da Lagoa"
"4104055","4104808","PR","PR","Campo Bonito","Cascavel"
"4104055","4105003","PR","PR","Campo Bonito","Catanduvas"
"4104055","4109302","PR","PR","Campo Bonito","Guaraniaçu"
