"ibge_mun1","ibge_mun2","uf_mun1","uf_mun2","municipio_1","municipio_2"
"1500909","1501709","PA","PA","Augusto Corrêa","Bragança"
"1500909","1508308","PA","PA","Augusto Corrêa","Viseu"
"1501709","1500909","PA","PA","Bragança","Augusto Corrêa"
"1501709","1508035","PA","PA","Bragança","Tracuateua"
"1501709","1508308","PA","PA","Bragança","Viseu"
"1502509","1507904","PA","PA","Chaves","Soure"
"1502509","1600303","PA","AP","Chaves","Macapá"
"1502608","1506302","PA","PA","Colares","Salvaterra"
"1502608","1508209","PA","PA","Colares","Vigia"
"1502905","1504406","PA","PA","Curuçá","Marapanim"
"1502905","1507102","PA","PA","Curuçá","São Caetano de Odivelas"
"1504109","1504307","PA","PA","Magalhães Barata","Maracanã"
"1504109","1504406","PA","PA","Magalhães Barata","Marapanim"
"1504307","1504109","PA","PA","Maracanã","Magalhães Barata"
"1504307","1504406","PA","PA","Maracanã","Marapanim"
"1504307","1506203","PA","PA","Maracanã","Salinópolis"
"1504307","1507474","PA","PA","Maracanã","São João de Pirabas"
"1504406","1502905","PA","PA","Marapanim","Curuçá"
"1504406","1504109","PA","PA","Marapanim","Magalhães Barata"
"1504406","1504307","PA","PA","Marapanim","Maracanã"
"1506112","1507474","PA","PA","Quatipuru","São João de Pirabas"
"1506112","1508035","PA","PA","Quatipuru","Tracuateua"
"1506203","1504307","PA","PA","Salinópolis","Maracanã"
"1506203","1507474","PA","PA","Salinópolis","São João de Pirabas"
"1506302","1502608","PA","PA","Salvaterra","Colares"
"1506302","1507904","PA","PA","Salvaterra","Soure"
"1507102","1502905","PA","PA","São Caetano de Odivelas","Curuçá"
"1507102","1508209","PA","PA","São Caetano de Odivelas","Vigia"
"1507474","1504307","PA","PA","São João de Pirabas","Maracanã"
"1507474","1506112","PA","PA","São João de Pirabas","Quatipuru"
"1507474","1506203","PA","PA","São João de Pirabas","Salinópolis"
"1507904","1502509","PA","PA","Soure","Chaves"
"1507904","1506302","PA","PA","Soure","Salvaterra"
"1508035","1501709","PA","PA","Tracuateua","Bragança"
"1508035","1506112","PA","PA","Tracuateua","Quatipuru"
"1508209","1502608","PA","PA","Vigia","Colares"
"1508209","1507102","PA","PA","Vigia","São Caetano de Odivelas"
"1508308","1500909","PA","PA","Viseu","Augusto Corrêa"
"1508308","1501709","PA","PA","Viseu","Bragança"
"1508308","2102903","PA","MA","Viseu","Carutapera"
"1600105","1600204","AP","AP","Amapá","Calçoene"
"1600105","1600303","AP","AP","Amapá","Macapá"
"1600204","1600105","AP","AP","Calçoene","Amapá"
"1600204","1600501","AP","AP","Calçoene","Oiapoque"
"1600303","1502509","AP","PA","Macapá","Chaves"
"1600303","1600105","AP","AP","Macapá","Amapá"
"1600501","1600204","AP","AP","Oiapoque","Calçoene"
"2100204","2101350","MA","MA","Alcântara","Bacurituba"
"2100204","2101905","MA","MA","Alcântara","Bequimão"
"2100832","2101301","MA","MA","Apicum-Açu","Bacuri"
"2100832","2103703","MA","MA","Apicum-Açu","Cururupu"
"2100907","2112506","MA","MA","Araioses","Tutóia"
"2100907","2204659","MA","PI","Araioses","Ilha Grande"
"2100907","2207702","MA","PI","Araioses","Parnaíba"
"2101103","2105104","MA","MA","Axixá","Icatu"
"2101103","2109601","MA","MA","Axixá","Rosário"
"2101251","2109601","MA","MA","Bacabeira","Rosário"
