,Alto Alegre,Amajari,Boa Vista,Bonfim,Cantá,Caracaraí,Caroebe,Iracema,Mucajaí,Normandia,Pacaraima,Rorainópolis,São João da Baliza,São Luiz,Uiramutã
Alto Alegre,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
Amajari,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Boa Vista,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0
Bonfim,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
Cantá,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
Caracaraí,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0
Caroebe,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Iracema,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Mucajaí,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Normandia,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Pacaraima,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
Rorainópolis,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
São João da Baliza,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
São Luiz,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Uiramutã,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
