,Afuá,Almeirim,Amapá,Calçoene,Chaves,Cutias,Ferreira Gomes,Gurupá,Itaubal,Laranjal do Jari,Macapá,Mazagão,Oiapoque,Pedra Branca do Amapari,Porto Grande,Pracuúba,Santana,Serra do Navio,Tartarugalzinho,Vitória do Jari
Afuá,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
Almeirim,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Amapá,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Calçoene,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
Chaves,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Cutias,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Ferreira Gomes,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0
Gurupá,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Itaubal,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Laranjal do Jari,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Macapá,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
Mazagão,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
Oiapoque,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Pedra Branca do Amapari,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0
Porto Grande,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0
Pracuúba,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Santana,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
Serra do Navio,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Tartarugalzinho,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Vitória do Jari,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
