,Brasília,Cabeceira Grande,Cidade Ocidental,Cristalina,Formosa,Novo Gama,Padre Bernardo,Planaltina,Santo Antônio do Descoberto,Valparaíso de Goiás,Águas Lindas de Goiás
Brasília,0,1,1,1,1,1,1,1,1,1,1
Cabeceira Grande,1,0,0,0,0,0,0,0,0,0,0
Cidade Ocidental,1,0,0,0,0,0,0,0,0,0,0
Cristalina,1,0,0,0,0,0,0,0,0,0,0
Formosa,1,0,0,0,0,0,0,0,0,0,0
Novo Gama,1,0,0,0,0,0,0,0,0,0,0
Padre Bernardo,1,0,0,0,0,0,0,0,0,0,0
Planaltina,1,0,0,0,0,0,0,0,0,0,0
Santo Antônio do Descoberto,1,0,0,0,0,0,0,0,0,0,0
Valparaíso de Goiás,1,0,0,0,0,0,0,0,0,0,0
Águas Lindas de Goiás,1,0,0,0,0,0,0,0,0,0,0
