,Abel Figueiredo,Afonso Cunha,Aguiarnópolis,Alcântara,Aldeias Altas,Altamira do Maranhão,Alto Alegre do Maranhão,Alto Alegre do Pindaré,Alto Parnaíba,Amapá do Maranhão,Amarante,Amarante do Maranhão,Anajatuba,Anapurus,Antônio Almeida,Apicum-Açu,Araguanã,Araioses,Arame,Arari,Axixá,Açailândia,Babaçulândia,Bacabal,Bacabeira,Bacuri,Bacurituba,Balsas,Barra do Corda,Barra do Ouro,Barreiras do Piauí,Barreirinhas,Barão de Grajaú,Bela Vista do Maranhão,Belágua,Benedito Leite,Bequimão,Bernardo do Mearim,Boa Vista do Gurupi,Bom Jardim,Bom Jesus das Selvas,Bom Jesus do Tocantins,Bom Lugar,Brejo,Brejo de Areia,Buriti,Buriti Bravo,Buriti do Tocantins,Buriti dos Lopes,Buriticupu,Buritirana,Cachoeira Grande,Cachoeira do Piriá,Cajapió,Cajari,Campestre do Maranhão,Campo Largo do Piauí,Campos Lindos,Cantanhede,Capinzal do Norte,Carolina,Carrasco Bonito,Carutapera,Caxias,Cedral,Central do Maranhão,Centro Novo do Maranhão,Centro do Guilherme,Chapadinha,Cidelândia,Codó,Coelho Neto,Colinas,Conceição do Lago-Açu,Coroatá,Cururupu,Cândido Mendes,Darcinópolis,Davinópolis,Dom Eliseu,Dom Pedro,Duque Bacelar,Esperantina,Esperantinópolis,Estreito,Feira Nova do Maranhão,Fernando Falcão,Filadélfia,Floriano,Formosa da Serra Negra,Fortaleza dos Nogueiras,Fortuna,Gilbués,Godofredo Viana,Goiatins,Gonçalves Dias,Governador Archer,Governador Edison Lobão,Governador Eugênio Barros,Governador Luiz Rocha,Governador Newton Bello,Governador Nunes Freire,Grajaú,Graça Aranha,Guadalupe,Guimarães,Humberto de Campos,Icatu,Igarapé Grande,Igarapé do Meio,Ilha Grande,Imperatriz,Itaguatins,Itaipava do Grajaú,Itapecuru Mirim,Itinga do Maranhão,Jatobá,Jenipapo dos Vieiras,Jerumenha,Joaquim Pires,Joca Marques,Joselândia,João Lisboa,Junco do Maranhão,Lago Verde,Lago da Pedra,Lago do Junco,Lago dos Rodrigues,Lagoa Grande do Maranhão,Lagoa do Mato,Lajeado Novo,Lima Campos,Lizarda,Loreto,Luzilândia,Luís Domingues,Madeiro,Magalhães de Almeida,Maracaçumé,Marajá do Sena,Maranhãozinho,Mata Roma,Mateiros,Matias Olímpio,Matinha,Matões,Matões do Norte,Maurilândia do Tocantins,Miguel Alves,Milagres do Maranhão,Mirador,Miranda do Norte,Mirinzal,Montes Altos,Monção,Morros,Murici dos Portelas,Nazária,Nina Rodrigues,Nova Colinas,Nova Esperança do Piriá,Nova Iorque,Nova Olinda do Maranhão,Olho d'Água das Cunhãs,Olinda Nova do Maranhão,Palmeirais,Palmeiras do Tocantins,Palmeirândia,Paragominas,Paraibano,Parnarama,Parnaíba,Passagem Franca,Pastos Bons,Paulino Neves,Paulo Ramos,Paço do Lumiar,Pedreiras,Pedro do Rosário,Penalva,Peri Mirim,Peritoró,Pindaré-Mirim,Pinheiro,Pio XII,Pirapemas,Porto,Porto Alegre do Piauí,Porto Franco,Porto Rico do Maranhão,Poção de Pedras,Praia Norte,Presidente Dutra,Presidente Juscelino,Presidente Médici,Presidente Sarney,Presidente Vargas,Primeira Cruz,Raposa,Recursolândia,Riachão,Ribamar Fiquene,Ribeiro Gonçalves,Rondon do Pará,Rosário,Sambaíba,Sampaio,Santa Filomena,Santa Filomena do Maranhão,Santa Helena,Santa Inês,Santa Luzia,Santa Luzia do Paruá,Santa Quitéria do Maranhão,Santa Rita,Santana do Maranhão,Santo Amaro do Maranhão,Santo Antônio dos Lopes,Satubinha,Senador Alexandre Costa,Senador La Rocque,Serrano do Maranhão,Sucupira do Norte,Sucupira do Riachão,São Benedito do Rio Preto,São Bento,São Bernardo,São Domingos do Azeitão,São Domingos do Maranhão,São Francisco do Brejão,São Francisco do Maranhão,São Félix de Balsas,São Félix do Tocantins,São José de Ribamar,São José dos Basílios,São João Batista,São João do Carú,São João do Paraíso,São João do Soter,São João dos Patos,São Luís,São Luís Gonzaga do Maranhão,São Mateus do Maranhão,São Miguel do Tocantins,São Pedro da Água Branca,São Pedro dos Crentes,São Raimundo das Mangabeiras,São Raimundo do Doca Bezerra,São Roberto,São Sebastião do Tocantins,São Vicente Ferrer,Sítio Novo,Tasso Fragoso,Teresina,Timbiras,Timon,Tocantinópolis,Trizidela do Vale,Tufilândia,Tuntum,Turiaçu,Turilândia,Tutóia,Ulianópolis,União,Urbano Santos,Uruçuí,Vargem Grande,Viana,Vila Nova dos Martírios,Viseu,Vitorino Freire,Vitória do Mearim,Zé Doca,Água Doce do Maranhão
Abel Figueiredo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Afonso Cunha,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguiarnópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcântara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldeias Altas,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altamira do Maranhão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alto Alegre do Maranhão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alto Alegre do Pindaré,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alto Parnaíba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amapá do Maranhão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
